,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
10846,1579989780456439808,Salley getting hood ok 🤣 she said mind ur mf business #BachelorInParadise,Salley getting hood ok she said mind ur mf business BachelorInParadise,2022-10-12 00:18:13+00:00,Twitter for iPhone,0,0,4,0
10847,1579989780334796801,"Why is Michael still on the beach if he feels like he’s closing himself off to finding someone??? He needs to go home then

Sth tells me he just wasn’t that into Sierra and used that as an excuse 

#BachelorInParadise #BachelorInParadiseABC",Why is Michael still on the beach if he feels like he s closing himself off to finding someone He needs to go home then Sth tells me he just wasn t that into Sierra and used that as an excuse BachelorInParadise BachelorInParadiseABC,2022-10-12 00:18:13+00:00,Twitter for iPhone,0,0,4,0
10848,1579989779307171840,"Is this why the girls get kicked out the beach? Because of this drama?
#BachelorInParadise https://t.co/Nm6bU19ISu",Is this why the girls get kicked out the beach Because of this drama BachelorInParadise,2022-10-12 00:18:12+00:00,Twitter for Android,0,0,0,0
10849,1579989778694823936,Salley was spitting nothing but straight FACTS to Genevieve and Shanae #BachelorInParadise,Salley was spitting nothing but straight FACTS to Genevieve and Shanae BachelorInParadise,2022-10-12 00:18:12+00:00,Twitter for iPhone,1,0,16,0
10850,1579989776836722688,YESS STAND YOU’RE GROUND  #BachelorInParadise,YESS STAND YOU RE GROUND BachelorInParadise,2022-10-12 00:18:12+00:00,Twitter for iPhone,0,0,3,0
10851,1579989775498768384,No I’m sorry I don’t like Sally.🤷🏻‍♀️ #BachelorInParadise,No I m sorry I don t like Sally BachelorInParadise,2022-10-12 00:18:11+00:00,Twitter for iPhone,0,0,1,0
10852,1579989771782590465,tell ‘em sally!!!!!  #BachelorInParadise,tell em sally BachelorInParadise,2022-10-12 00:18:11+00:00,Twitter for iPhone,0,0,1,0
10853,1579989770608209924,"This is SUCH an immediate escalation, there should be more context?? #bachelorinparadise",This is SUCH an immediate escalation there should be more context bachelorinparadise,2022-10-12 00:18:10+00:00,Twitter for iPhone,0,1,1,0
10854,1579989765587632128,I wonder if Salley can fight….Cuz these mean girls need to be tossed out 💀 #BachelorInParadise https://t.co/mDEDU7QhWL,I wonder if Salley can fight Cuz these mean girls need to be tossed out BachelorInParadise,2022-10-12 00:18:09+00:00,Twitter for iPhone,1,0,5,0
10855,1579989764388052992,Is Salley gonna leave already?! #bachelorinparadise,Is Salley gonna leave already bachelorinparadise,2022-10-12 00:18:09+00:00,Twitter for iPhone,0,0,0,0
10856,1579989763830218752,"Giiiiiiiiirl like, I really understand why production has done Salley dirty. Like, this is a lot of energy for hour 1. #BachelorInParadise",Giiiiiiiiirl like I really understand why production has done Salley dirty Like this is a lot of energy for hour 1 BachelorInParadise,2022-10-12 00:18:09+00:00,Twitter for iPhone,0,0,2,0
